settlement_id,order_id,settlement_date,gross_amount,fee,tax,refund,net_amount,marketplace,reference,rate_version
SET-20025-A,ORD-1025,2026-07-22,1290,84,15,0,1191,RAZORPAY,REF-ORD-1025,v2
SET-20025-B,ORD-1025,2026-07-24,553,37,7,0,509,RAZORPAY,REF-ORD-1025,v2
SET-20026-A,ORD-1026,2026-07-21,4532,151,27,0,4354,RAZORPAY,REF-ORD-1026,v2
SET-20026-B,ORD-1026,2026-07-23,4533,151,27,0,4355,RAZORPAY,REF-ORD-1026,v2
SET-20027,ORD-1027,2026-07-24,12234,381,69,0,11784,RAZORPAY,REF-ORD-1027,v2
SET-20028,ORD-1028,2026-07-11,6984,200,36,0,6748,RAZORPAY,REF-ORD-1028,v1
SET-20029,ORD-1029,2026-07-23,5415,210,38,0,5167,RAZORPAY,REF-ORD-1029,v2
SET-20030,ORD-1030,2026-07-27,1688,117,21,0,1550,RAZORPAY,REF-ORD-1030,v2
SET-20031,ORD-1031,2026-07-22,9724,318,57,0,9349,RAZORPAY,REF-ORD-1031,v2
SET-20032,ORD-1032,2026-07-20,3992,175,32,0,3785,RAZORPAY,REF-ORD-1032,v2
SET-20033,ORD-1033,2026-07-07,6218,230,41,0,5947,RAZORPAY,REF-ORD-1033,v2
SET-20034-A,ORD-1034,2026-07-14,3618,142,25,0,3451,RAZORPAY,REF-ORD-1034,v2
SET-20034-B,ORD-1034,2026-07-16,1551,62,12,0,1477,RAZORPAY,REF-ORD-1034,v2
SET-20035,ORD-1035,2026-07-25,5456,211,38,0,5207,RAZORPAY,REF-ORD-1035,v2
SET-20036,ORD-1036,2026-07-19,628,91,16,0,521,RAZORPAY,REF-ORD-1036,v2
SET-20037,ORD-1037,2026-07-12,11368,359,65,0,10944,RAZORPAY,REF-ORD-1037,v2
SET-20038-A,ORD-1038,2026-07-11,1673,94,16,0,1563,RAZORPAY,REF-ORD-1038,v2
SET-20038-B,ORD-1038,2026-07-13,718,41,8,0,669,RAZORPAY,REF-ORD-1038,v2
SET-20039,ORD-1039,2026-07-07,4962,199,36,0,4727,RAZORPAY,REF-ORD-1039,v2
SET-20040,ORD-1040,2026-07-09,12257,381,69,0,11807,RAZORPAY,REF-ORD-1040,v2
SET-20041,ORD-1041,2026-07-24,10891,278,50,0,10563,RAZORPAY,REF-ORD-1041,v1
SET-20042,ORD-1042,2026-07-19,8504,288,52,0,8164,RAZORPAY,REF-ORD-1042,v2
SET-20043-A,ORD-1043,2026-07-05,5446,173,31,0,5242,RAZORPAY,REF-ORD-1043,v2
SET-20043-B,ORD-1043,2026-07-07,5446,174,31,0,5241,RAZORPAY,REF-ORD-1043,v2
SET-20044,ORD-1044,2026-07-03,5964,224,40,0,5700,RAZORPAY,REF-ORD-1044,v2
SET-20045,ORD-1045,2026-07-23,4791,195,35,0,4561,RAZORPAY,REF-ORD-1045,v2
SET-20046,ORD-1046,2026-07-17,9538,313,56,0,9169,RAZORPAY,REF-ORD-1046,v2
SET-20047,ORD-1047,2026-07-20,658,91,16,0,551,RAZORPAY,REF-ORD-1047,v2
SET-20048,ORD-1048,2026-07-25,2942,149,27,0,2766,RAZORPAY,REF-ORD-1048,v2
SET-20049,ORD-1049,2026-07-14,10043,326,59,0,9658,RAZORPAY,REF-ORD-1049,v2
SET-20050-A,ORD-1050,2026-07-16,1552,84,15,0,1453,RAZORPAY,REF-ORD-1050,v2
SET-20050-B,ORD-1050,2026-07-18,1036,56,10,0,970,RAZORPAY,REF-ORD-1050,v2
SET-20051,ORD-1051,2026-07-28,14601,440,79,0,14082,RAZORPAY,REF-ORD-1051,v2
SET-20052,ORD-1052,2026-07-09,11674,367,66,0,11241,RAZORPAY,REF-ORD-1052,v2
SET-20053,ORD-1053,2026-07-06,6294,232,42,0,6020,RAZORPAY,REF-ORD-1053,v2
SET-20054,ORD-1054,2026-07-16,10668,342,62,0,10264,RAZORPAY,REF-ORD-1054,v2
SET-20055,ORD-1055,2026-07-10,14665,442,80,0,14143,RAZORPAY,REF-ORD-1055,v2
SET-20056,ORD-1056,2026-07-16,906,98,18,0,790,RAZORPAY,REF-ORD-1056,v2
SET-20057,ORD-1057,2026-07-26,5942,179,32,0,5731,RAZORPAY,REF-ORD-1057,v1
SET-20058-A,ORD-1058,2026-07-28,5737,181,32,0,5524,RAZORPAY,REF-ORD-1058,v2
SET-20058-B,ORD-1058,2026-07-30,5738,181,33,0,5524,RAZORPAY,REF-ORD-1058,v2
SET-20059,ORD-1059,2026-07-11,3108,153,28,0,2927,RAZORPAY,REF-ORD-1059,v2
SET-20060,ORD-1060,2026-07-06,6767,244,44,0,6479,RAZORPAY,REF-ORD-1060,v2
SET-20061,ORD-1061,2026-07-18,4144,179,32,0,3933,RAZORPAY,REF-ORD-1061,v2
SET-20062,ORD-1062,2026-07-14,5500,213,38,0,5249,RAZORPAY,REF-ORD-1062,v2
SET-20063,ORD-1063,2026-07-10,887,97,17,0,773,RAZORPAY,REF-ORD-1063,v2
SET-20064,ORD-1064,2026-07-15,5878,222,40,0,5616,RAZORPAY,REF-ORD-1064,v2
SET-20065,ORD-1065,2026-07-27,5073,202,36,0,4835,RAZORPAY,REF-ORD-1065,v2
SET-20066,ORD-1066,2026-07-19,7048,251,45,0,6752,RAZORPAY,REF-ORD-1066,v2
SET-20067,ORD-1067,2026-07-13,952,99,18,0,835,RAZORPAY,REF-ORD-1067,v2
SET-20068,ORD-1068,2026-07-08,10012,325,58,0,9629,RAZORPAY,REF-ORD-1068,v2
SET-20069-A,ORD-1069,2026-07-06,7191,232,42,0,6917,RAZORPAY,REF-ORD-1069,v2
SET-20069-B,ORD-1069,2026-07-08,3083,100,18,0,2965,RAZORPAY,REF-ORD-1069,v2
SET-20070,ORD-1070,2026-07-28,5639,216,39,0,5384,RAZORPAY,REF-ORD-1070,v2
SET-20071,ORD-1071,2026-07-19,2394,135,24,0,2235,RAZORPAY,REF-ORD-1071,v2
SET-20072,ORD-1072,2026-07-09,4673,192,35,0,4446,RAZORPAY,REF-ORD-1072,v2
SET-20073,ORD-1073,2026-07-16,527,88,16,0,423,RAZORPAY,REF-ORD-1073,v2
SET-20074-A,ORD-1074,2026-07-24,8600,267,48,0,8285,RAZORPAY,REF-ORD-1074,v2
SET-20074-B,ORD-1074,2026-07-26,3687,115,21,0,3551,RAZORPAY,REF-ORD-1074,v2
SET-20075,ORD-1075,2026-07-09,6467,189,34,0,6244,RAZORPAY,REF-ORD-1075,v1
SET-20076,ORD-1076,2026-07-24,5909,223,40,0,5646,RAZORPAY,REF-ORD-1076,v2
SET-20077,ORD-1077,2026-07-24,14393,435,78,0,13880,RAZORPAY,REF-ORD-1077,v2
SET-20078,ORD-1078,2026-07-12,8808,295,53,0,8460,RAZORPAY,REF-ORD-1078,v2
SET-20079,ORD-1079,2026-07-16,5844,221,40,0,5583,RAZORPAY,REF-ORD-1079,v2
SET-20080,ORD-1080,2026-07-12,9583,315,57,0,9211,RAZORPAY,REF-ORD-1080,v2
SET-20081,ORD-1081,2026-07-16,11394,288,52,0,11054,RAZORPAY,REF-ORD-1081,v1
SET-20082,ORD-1082,2026-07-26,3351,159,29,0,3163,RAZORPAY,REF-ORD-1082,v2
SET-20083-A,ORD-1083,2026-07-12,4291,152,27,0,4112,RAZORPAY,REF-ORD-1083,v2
SET-20083-B,ORD-1083,2026-07-14,2862,102,19,0,2741,RAZORPAY,REF-ORD-1083,v2
SET-20084,ORD-1084,2026-07-12,3943,174,31,0,3738,RAZORPAY,REF-ORD-1084,v2
SET-20085,ORD-1085,2026-07-22,11226,356,64,0,10806,RAZORPAY,REF-ORD-1085,v2
SET-20086,ORD-1086,2026-07-17,7744,269,48,0,7427,RAZORPAY,REF-ORD-1086,v2
SET-20087,ORD-1087,2026-07-19,8252,281,51,0,7920,RAZORPAY,REF-ORD-1087,v2
SET-20088,ORD-1088,2026-07-08,11294,357,64,0,10873,RAZORPAY,REF-ORD-1088,v2
SET-20089,ORD-1089,2026-07-19,11376,359,65,0,10952,RAZORPAY,REF-ORD-1089,v2
SET-20090,ORD-1090,2026-07-13,2030,126,23,0,1881,RAZORPAY,REF-ORD-1090,v2
SET-20091,ORD-1091,2026-07-24,5585,215,39,0,5331,RAZORPAY,REF-ORD-1091,v2
SET-20092-A,ORD-1092,2026-07-07,540,58,10,0,472,RAZORPAY,REF-ORD-1092,v2
SET-20092-B,ORD-1092,2026-07-09,360,39,7,0,314,RAZORPAY,REF-ORD-1092,v2
SET-20093,ORD-1093,2026-07-22,14422,436,78,0,13908,RAZORPAY,REF-ORD-1093,v2
SET-20094,ORD-1094,2026-07-17,7290,206,37,0,7047,RAZORPAY,REF-ORD-1094,v1
SET-20095,ORD-1095,2026-07-09,12269,382,69,0,11818,RAZORPAY,REF-ORD-1095,v2
SET-20096-A,ORD-1096,2026-07-18,4932,175,31,0,4726,RAZORPAY,REF-ORD-1096,v2
SET-20096-B,ORD-1096,2026-07-20,2115,76,14,0,2025,RAZORPAY,REF-ORD-1096,v2
SET-20097,ORD-1097,2026-07-25,590,90,16,0,484,RAZORPAY,REF-ORD-1097,v2
SET-20098,ORD-1098,2026-07-27,7465,262,47,0,7156,RAZORPAY,REF-ORD-1098,v2
SET-20099,ORD-1099,2026-07-28,11901,298,54,0,11549,RAZORPAY,REF-ORD-1099,v1
SET-20100,ORD-1100,2026-07-04,9632,316,57,0,9259,RAZORPAY,REF-ORD-1100,v2
SET-20101,ORD-1101,2026-07-17,2684,142,26,0,2516,RAZORPAY,REF-ORD-1101,v2
SET-20102,ORD-1102,2026-07-24,9202,305,55,0,8842,RAZORPAY,REF-ORD-1102,v2
SET-20103,ORD-1103,2026-07-13,12874,317,57,0,12500,RAZORPAY,REF-ORD-1103,v1
SET-20104-A,ORD-1104,2026-07-26,5262,176,31,0,5055,RAZORPAY,REF-ORD-1104,v2
SET-20104-B,ORD-1104,2026-07-28,3508,118,22,0,3368,RAZORPAY,REF-ORD-1104,v2
SET-20105-A,ORD-1105,2026-07-08,7610,235,42,0,7333,RAZORPAY,REF-ORD-1105,v2
SET-20105-B,ORD-1105,2026-07-10,5074,157,29,0,4888,RAZORPAY,REF-ORD-1105,v2
SET-20106,ORD-1106,2026-07-11,68173,100,18,0,68055,RAZORPAY,REF-ORD-1106,v2
SET-20107,ORD-1107,2026-07-27,13241,406,73,0,12762,RAZORPAY,REF-ORD-1107,v2
SET-20108,ORD-1108,2026-07-23,4419,185,33,0,4201,RAZORPAY,REF-ORD-1108,v2
SET-20109-A,ORD-1109,2026-07-05,7314,228,40,0,7046,RAZORPAY,REF-ORD-1109,v2
SET-20109-B,ORD-1109,2026-07-07,4876,152,28,0,4696,RAZORPAY,REF-ORD-1109,v2
SET-20110,ORD-1110,2026-07-13,5738,218,39,0,5481,RAZORPAY,REF-ORD-1110,v2
SET-20111,ORD-1111,2026-07-07,2971,149,27,0,2795,RAZORPAY,REF-ORD-1111,v2
SET-20112,ORD-1112,2026-07-25,3003,150,27,0,2826,RAZORPAY,REF-ORD-1112,v2
SET-20113,ORD-1113,2026-07-05,7297,206,37,0,7054,RAZORPAY,REF-ORD-1113,v1
SET-20114,ORD-1114,2026-07-20,8133,278,50,0,7805,RAZORPAY,REF-ORD-1114,v2
SET-20115,ORD-1115,2026-07-09,14146,429,77,0,13640,RAZORPAY,REF-ORD-1115,v2
SET-20116,ORD-1116,2026-07-27,10069,261,47,0,9761,RAZORPAY,REF-ORD-1116,v1
SET-20117,ORD-1117,2026-07-27,9932,323,58,0,9551,RAZORPAY,REF-ORD-1117,v2
SET-20118,ORD-1118,2026-07-03,6263,232,42,0,5989,RAZORPAY,REF-ORD-1118,v2
SET-20119,ORD-1119,2026-07-16,9318,246,44,0,9028,RAZORPAY,REF-ORD-1119,v1
SET-20120-A,ORD-1120,2026-07-20,8163,249,45,0,7869,RAZORPAY,REF-ORD-1120,v2
SET-20120-B,ORD-1120,2026-07-22,5442,166,30,0,5246,RAZORPAY,REF-ORD-1120,v2
SET-20121,ORD-1121,2026-07-10,4971,199,36,0,4736,RAZORPAY,REF-ORD-1121,v2
SET-20122-A,ORD-1122,2026-07-03,4809,172,30,0,4607,RAZORPAY,REF-ORD-1122,v2
SET-20122-B,ORD-1122,2026-07-05,2062,75,14,0,1973,RAZORPAY,REF-ORD-1122,v2
SET-20123,ORD-1123,2026-07-28,7124,253,46,0,6825,RAZORPAY,REF-ORD-1123,v2
SET-20124,ORD-1124,2026-07-17,2591,140,25,0,2426,RAZORPAY,REF-ORD-1124,v2
SET-20125,ORD-1125,2026-07-03,6955,249,45,0,6661,RAZORPAY,REF-ORD-1125,v2
SET-20126,ORD-1126,2026-07-24,944,99,18,0,827,RAZORPAY,REF-ORD-1126,v2
SET-20127,ORD-1127,2026-07-16,2723,143,26,0,2554,RAZORPAY,REF-ORD-1127,v2
SET-20128,ORD-1128,2026-07-17,3477,130,23,0,3324,RAZORPAY,REF-ORD-1128,v1
SET-20129,ORD-1129,2026-07-15,5863,222,40,0,5601,RAZORPAY,REF-ORD-1129,v2
SET-20130,ORD-1130,2026-07-13,6029,226,41,0,5762,RAZORPAY,REF-ORD-1130,v2
SET-20131-A,ORD-1131,2026-07-11,7692,237,42,0,7413,RAZORPAY,REF-ORD-1131,v2
SET-20131-B,ORD-1131,2026-07-13,5128,158,29,0,4941,RAZORPAY,REF-ORD-1131,v2
SET-20132,ORD-1132,2026-07-05,8205,280,50,0,7875,RAZORPAY,REF-ORD-1132,v2
SET-20133,ORD-1133,2026-07-20,1353,87,16,0,1250,RAZORPAY,REF-ORD-1133,v1
SET-20134,ORD-1134,2026-07-23,1624,116,21,0,1487,RAZORPAY,REF-ORD-1134,v2
SET-20135,ORD-1135,2026-07-04,12857,396,71,0,12390,RAZORPAY,REF-ORD-1135,v2
SET-20136,ORD-1136,2026-07-09,14249,431,78,0,13740,RAZORPAY,REF-ORD-1136,v2
SET-20137,ORD-1137,2026-07-22,2996,120,22,0,2854,RAZORPAY,REF-ORD-1137,v1
SET-20138,ORD-1138,2026-07-18,11468,362,65,0,11041,RAZORPAY,REF-ORD-1138,v2
SET-20139,ORD-1139,2026-07-09,8119,278,50,0,7791,RAZORPAY,REF-ORD-1139,v2
SET-20140,ORD-1140,2026-07-27,6543,191,34,0,6318,RAZORPAY,REF-ORD-1140,v1
SET-20141,ORD-1141,2026-07-22,12754,394,71,0,12289,RAZORPAY,REF-ORD-1141,v2
SET-20142,ORD-1142,2026-07-27,13923,338,61,0,13524,RAZORPAY,REF-ORD-1142,v1
SET-20143,ORD-1143,2026-07-06,9981,325,58,0,9598,RAZORPAY,REF-ORD-1143,v2
SET-20144,ORD-1144,2026-07-21,11597,365,66,0,11166,RAZORPAY,REF-ORD-1144,v2
SET-20145,ORD-1145,2026-07-25,3749,169,30,0,3550,RAZORPAY,REF-ORD-1145,v2
SET-20146,ORD-1146,2026-07-25,14108,428,77,0,13603,RAZORPAY,REF-ORD-1146,v2
SET-20147,ORD-1147,2026-07-06,11922,373,67,0,11482,RAZORPAY,REF-ORD-1147,v2
SET-20148,ORD-1148,2026-07-24,10337,333,60,0,9944,RAZORPAY,REF-ORD-1148,v2
SET-20149,ORD-1149,2026-07-28,9772,319,57,0,9396,RAZORPAY,REF-ORD-1149,v2
SET-20150,ORD-1150,2026-07-14,9228,306,55,0,8867,RAZORPAY,REF-ORD-1150,v2
SET-20151,ORD-1151,2026-07-14,1629,116,21,0,1492,RAZORPAY,REF-ORD-1151,v2
SET-20152,ORD-1152,2026-07-13,707,93,17,0,597,RAZORPAY,REF-ORD-1152,v2
SET-20153,ORD-1153,2026-07-18,2229,131,24,0,2074,RAZORPAY,REF-ORD-1153,v2
SET-20154,ORD-1154,2026-07-23,14077,342,62,0,13673,RAZORPAY,REF-ORD-1154,v1
SET-20155,ORD-1155,2026-07-07,7635,266,48,0,7321,RAZORPAY,REF-ORD-1155,v2
SET-20156,ORD-1156,2026-07-19,11157,354,64,0,10739,RAZORPAY,REF-ORD-1156,v2
SET-20157-A,ORD-1157,2026-07-28,5590,184,33,0,5373,RAZORPAY,REF-ORD-1157,v2
SET-20157-B,ORD-1157,2026-07-30,3727,124,22,0,3581,RAZORPAY,REF-ORD-1157,v2
SET-20158,ORD-1158,2026-07-16,14028,426,77,0,13525,RAZORPAY,REF-ORD-1158,v2
SET-20159,ORD-1159,2026-07-11,5780,219,39,0,5522,RAZORPAY,REF-ORD-1159,v2
SET-20160,ORD-1160,2026-07-05,5069,202,36,0,4831,RAZORPAY,REF-ORD-1160,v2
SET-20161,ORD-1161,2026-07-27,8113,278,50,0,7785,RAZORPAY,REF-ORD-1161,v2
SET-20162,ORD-1162,2026-07-24,6709,243,44,0,6422,RAZORPAY,REF-ORD-1162,v2
SET-20163,ORD-1163,2026-07-18,14442,436,78,0,13928,RAZORPAY,REF-ORD-1163,v2
SET-20164,ORD-1164,2026-07-18,3975,174,31,0,3770,RAZORPAY,REF-ORD-1164,v2
SET-20165,ORD-1165,2026-07-13,5081,202,36,0,4843,RAZORPAY,REF-ORD-1165,v2
SET-20166,ORD-1166,2026-07-11,9606,252,45,0,9309,RAZORPAY,REF-ORD-1166,v1
SET-20167,ORD-1167,2026-07-09,1902,123,22,0,1757,RAZORPAY,REF-ORD-1167,v2
SET-20168,ORD-1168,2026-07-16,8504,288,52,0,8164,RAZORPAY,REF-ORD-1168,v2
SET-20169,ORD-1169,2026-07-25,8300,283,51,0,7966,RAZORPAY,REF-ORD-1169,v2
SET-20170,ORD-1170,2026-07-18,7842,271,49,0,7522,RAZORPAY,REF-ORD-1170,v2
SET-20171,ORD-1171,2026-07-05,5320,208,37,0,5075,RAZORPAY,REF-ORD-1171,v2
SET-20172,ORD-1172,2026-07-25,4486,187,34,0,4265,RAZORPAY,REF-ORD-1172,v2
SET-20173,ORD-1173,2026-07-21,6546,239,43,0,6264,RAZORPAY,REF-ORD-1173,v2
SET-20174,ORD-1174,2026-07-19,6132,228,41,0,5863,RAZORPAY,REF-ORD-1174,v2
SET-20175,ORD-1175,2026-07-20,5919,223,40,0,5656,RAZORPAY,REF-ORD-1175,v2
SET-20176,ORD-1176,2026-07-17,4938,198,36,0,4704,RAZORPAY,REF-ORD-1176,v2
SET-20177,ORD-1177,2026-07-10,2476,137,25,0,2314,RAZORPAY,REF-ORD-1177,v2
SET-20178,ORD-1178,2026-07-13,2458,136,24,0,2298,RAZORPAY,REF-ORD-1178,v2
SET-20179-A,ORD-1179,2026-07-27,5903,185,33,0,5685,RAZORPAY,REF-ORD-1179,v2
SET-20179-B,ORD-1179,2026-07-29,5904,185,34,0,5685,RAZORPAY,REF-ORD-1179,v2
SET-20180,ORD-1180,2026-07-26,8433,229,41,0,8163,RAZORPAY,REF-ORD-1180,v1
SET-20181,ORD-1181,2026-07-21,12955,399,72,0,12484,RAZORPAY,REF-ORD-1181,v2
SET-20182,ORD-1182,2026-07-12,2147,129,23,0,1995,RAZORPAY,REF-ORD-1182,v2
SET-20183,ORD-1183,2026-07-12,4227,145,26,0,4056,RAZORPAY,REF-ORD-1183,v1
SET-20184,ORD-1184,2026-07-12,731,93,17,0,621,RAZORPAY,REF-ORD-1184,v2
SET-20185,ORD-1185,2026-07-07,4994,200,36,0,4758,RAZORPAY,REF-ORD-1185,v2
SET-20186,ORD-1186,2026-07-20,5286,207,37,0,5042,RAZORPAY,REF-ORD-1186,v2
SET-20187,ORD-1187,2026-07-23,14728,355,64,0,14309,RAZORPAY,REF-ORD-1187,v1
SET-20188,ORD-1188,2026-07-06,14798,445,80,0,14273,RAZORPAY,REF-ORD-1188,v2
SET-20189,ORD-1189,2026-07-12,8190,224,40,0,7926,RAZORPAY,REF-ORD-1189,v1
SET-20190,ORD-1190,2026-07-13,3520,163,29,0,3328,RAZORPAY,REF-ORD-1190,v2
SET-20191,ORD-1191,2026-07-18,2369,134,24,0,2211,RAZORPAY,REF-ORD-1191,v2
SET-20192,ORD-1192,2026-07-15,8556,289,52,0,8215,RAZORPAY,REF-ORD-1192,v2
SET-20193,ORD-1193,2026-07-23,11746,369,66,0,11311,RAZORPAY,REF-ORD-1193,v2
SET-20194,ORD-1194,2026-07-07,13789,420,76,0,13293,RAZORPAY,REF-ORD-1194,v2
SET-20195,ORD-1195,2026-07-05,4566,189,34,0,4343,RAZORPAY,REF-ORD-1195,v2
SET-20196,ORD-1196,2026-07-27,7318,258,46,0,7014,RAZORPAY,REF-ORD-1196,v2
SET-20197,ORD-1197,2026-07-28,10632,341,61,0,10230,RAZORPAY,REF-ORD-1197,v2
SET-20198,ORD-1198,2026-07-15,7881,272,49,0,7560,RAZORPAY,REF-ORD-1198,v2
SET-20199,ORD-1199,2026-07-21,7525,263,47,0,7215,RAZORPAY,REF-ORD-1199,v2
SET-20200,ORD-1200,2026-07-22,1486,112,20,0,1354,RAZORPAY,REF-ORD-1200,v2
SET-20201,ORD-1201,2026-07-06,12996,400,72,0,12524,RAZORPAY,REF-ORD-1201,v2
SET-20202,ORD-1202,2026-07-09,4835,157,28,0,4650,RAZORPAY,REF-ORD-1202,v1
SET-20203,ORD-1203,2026-07-08,4429,186,33,0,4210,RAZORPAY,REF-ORD-1203,v2
SET-20204,ORD-1204,2026-07-05,3064,152,27,0,2885,RAZORPAY,REF-ORD-1204,v2
SET-20205,ORD-1205,2026-07-17,11794,370,67,0,11357,RAZORPAY,REF-ORD-1205,v2
SET-20206,ORD-1206,2026-07-12,1034,101,18,0,915,RAZORPAY,REF-ORD-1206,v2
SET-20207,ORD-1207,2026-07-25,5132,203,37,0,4892,RAZORPAY,REF-ORD-1207,v2
SET-20208,ORD-1208,2026-07-05,11762,369,66,0,11327,RAZORPAY,REF-ORD-1208,v2
SET-20209,ORD-1209,2026-07-28,13463,412,74,0,12977,RAZORPAY,REF-ORD-1209,v2
SET-20210,ORD-1210,2026-07-24,13671,417,75,0,13179,RAZORPAY,REF-ORD-1210,v2
SET-20211,ORD-1211,2026-07-06,9422,311,56,0,9055,RAZORPAY,REF-ORD-1211,v2
SET-20212,ORD-1212,2026-07-07,4852,196,35,0,4621,RAZORPAY,REF-ORD-1212,v2
SET-20213,ORD-1213,2026-07-05,1477,90,16,0,1371,RAZORPAY,REF-ORD-1213,v1
SET-20214,ORD-1214,2026-07-22,12770,394,71,0,12305,RAZORPAY,REF-ORD-1214,v2
SET-20215,ORD-1215,2026-07-12,7695,267,48,0,7380,RAZORPAY,REF-ORD-1215,v2
SET-20216-A,ORD-1216,2026-07-25,3289,127,22,0,3140,RAZORPAY,REF-ORD-1216,v2
SET-20216-B,ORD-1216,2026-07-27,2193,85,16,0,2092,RAZORPAY,REF-ORD-1216,v2
SET-20217,ORD-1217,2026-07-19,9347,309,56,0,8982,RAZORPAY,REF-ORD-1217,v2
SET-20218,ORD-1218,2026-07-05,10298,332,60,0,9906,RAZORPAY,REF-ORD-1218,v2
SET-20219,ORD-1219,2026-07-26,5780,176,32,0,5572,RAZORPAY,REF-ORD-1219,v1
SET-20220,ORD-1220,2026-07-03,1996,125,22,0,1849,RAZORPAY,REF-ORD-1220,v2
SET-20221,ORD-1221,2026-07-21,10119,262,47,0,9810,RAZORPAY,REF-ORD-1221,v1
SET-20222,ORD-1222,2026-07-11,9941,259,47,0,9635,RAZORPAY,REF-ORD-1222,v1
SET-20223,ORD-1223,2026-07-18,9002,300,54,0,8648,RAZORPAY,REF-ORD-1223,v2
SET-20224-A,ORD-1224,2026-07-11,2431,113,20,0,2298,RAZORPAY,REF-ORD-1224,v2
SET-20224-B,ORD-1224,2026-07-13,1042,49,9,0,984,RAZORPAY,REF-ORD-1224,v2
SET-20225,ORD-1225,2026-07-18,1994,100,18,0,1876,RAZORPAY,REF-ORD-1225,v1
SET-20226,ORD-1226,2026-07-16,5960,224,40,0,5696,RAZORPAY,REF-ORD-1226,v2
SET-20227,ORD-1227,2026-07-06,14553,439,79,0,14035,RAZORPAY,REF-ORD-1227,v2
SET-20228,ORD-1228,2026-07-16,11865,372,67,0,11426,RAZORPAY,REF-ORD-1228,v2
SET-20229,ORD-1229,2026-07-24,7061,252,45,0,6764,RAZORPAY,REF-ORD-1229,v2
SET-20230,ORD-1230,2026-07-04,7951,274,49,0,7628,RAZORPAY,REF-ORD-1230,v2
SET-20231,ORD-1231,2026-07-11,5796,220,40,0,5536,RAZORPAY,REF-ORD-1231,v2
SET-20232,ORD-1232,2026-07-19,14015,340,61,0,13614,RAZORPAY,REF-ORD-1232,v1
SET-20233,ORD-1233,2026-07-20,8069,277,50,0,7742,RAZORPAY,REF-ORD-1233,v2
SET-20234,ORD-1234,2026-07-09,8994,240,43,0,8711,RAZORPAY,REF-ORD-1234,v1
SET-20235,ORD-1235,2026-07-27,8667,292,53,0,8322,RAZORPAY,REF-ORD-1235,v2
SET-20236,ORD-1236,2026-07-27,1345,109,20,0,1216,RAZORPAY,REF-ORD-1236,v2
