gateway_txn_id,order_id,transaction_date,captured_amount,gateway,status,reference
GTW-10112,ORD-1112,2026-07-09T09:00:00Z,6002,RAZORPAY,SUCCESS,REF-ORD-1112
GTW-10113,ORD-1113,2026-07-03T04:00:00Z,2767,RAZORPAY,SUCCESS,REF-ORD-1113
GTW-10114,ORD-1114,2026-07-23T04:00:00Z,3003,RAZORPAY,SUCCESS,REF-ORD-1114
GTW-10115,ORD-1115,2026-07-03T06:00:00Z,7297,RAZORPAY,SUCCESS,REF-ORD-1115
GTW-10116,ORD-1116,2026-07-18T01:00:00Z,8133,RAZORPAY,SUCCESS,REF-ORD-1116
GTW-10117,ORD-1117,2026-07-14T10:00:00Z,6881,RAZORPAY,SUCCESS,REF-ORD-1117
GTW-10118,ORD-1118,2026-07-23T10:00:00Z,820,RAZORPAY,SUCCESS,REF-ORD-1118
GTW-10119,ORD-1119,2026-07-13T06:00:00Z,8314,RAZORPAY,SUCCESS,REF-ORD-1119
GTW-10120,ORD-1120,2026-07-25T07:00:00Z,6889,RAZORPAY,SUCCESS,REF-ORD-1120
GTW-10121,ORD-1121,2026-07-24T10:00:00Z,12536,RAZORPAY,SUCCESS,REF-ORD-1121
GTW-10122,ORD-1122,2026-07-08T05:00:00Z,8499,RAZORPAY,SUCCESS,REF-ORD-1122
GTW-10123,ORD-1123,2026-07-14T07:00:00Z,8456,RAZORPAY,SUCCESS,REF-ORD-1123
GTW-10124,ORD-1124,2026-07-11T07:00:00Z,11458,RAZORPAY,SUCCESS,REF-ORD-1124
GTW-10125,ORD-1125,2026-07-24T08:00:00Z,3204,RAZORPAY,SUCCESS,REF-ORD-1125
GTW-10126,ORD-1126,2026-07-05T01:00:00Z,10695,RAZORPAY,SUCCESS,REF-ORD-1126
GTW-10128,ORD-1128,2026-07-22T11:00:00Z,944,RAZORPAY,SUCCESS,REF-ORD-1128
GTW-10129,ORD-1129,2026-07-14T08:00:00Z,2723,RAZORPAY,SUCCESS,REF-ORD-1129
GTW-10130,ORD-1130,2026-07-06T07:00:00Z,1323,RAZORPAY,SUCCESS,REF-ORD-1130
GTW-10131,ORD-1131,2026-07-11T06:00:00Z,3967,RAZORPAY,SUCCESS,REF-ORD-1131
GTW-10132,ORD-1132,2026-07-11T05:00:00Z,12971,RAZORPAY,SUCCESS,REF-ORD-1132
GTW-10133,ORD-1133,2026-07-25T05:00:00Z,14130,RAZORPAY,SUCCESS,REF-ORD-1133
GTW-10134,ORD-1134,2026-07-16T09:00:00Z,817,RAZORPAY,SUCCESS,REF-ORD-1134
GTW-10135,ORD-1135,2026-07-02T11:00:00Z,6233,RAZORPAY,SUCCESS,REF-ORD-1135
GTW-10137,ORD-1137,2026-07-02T04:00:00Z,12857,RAZORPAY,SUCCESS,REF-ORD-1137
GTW-10138,ORD-1138,2026-07-07T10:00:00Z,14249,RAZORPAY,SUCCESS,REF-ORD-1138
GTW-10139,ORD-1139,2026-07-05T08:00:00Z,4408,RAZORPAY,SUCCESS,REF-ORD-1139
GTW-10140,ORD-1140,2026-07-22T04:00:00Z,2374,RAZORPAY,SUCCESS,REF-ORD-1140
GTW-10141,ORD-1141,2026-07-15T06:00:00Z,11960,RAZORPAY,SUCCESS,REF-ORD-1141
GTW-10142,ORD-1142,2026-07-06T12:00:00Z,10426,RAZORPAY,SUCCESS,REF-ORD-1142
GTW-10143,ORD-1143,2026-07-23T03:00:00Z,2376,RAZORPAY,SUCCESS,REF-ORD-1143
GTW-10144,ORD-1144,2026-07-10T01:00:00Z,2271,RAZORPAY,SUCCESS,REF-ORD-1144
GTW-10145,ORD-1145,2026-07-10T07:00:00Z,9933,RAZORPAY,SUCCESS,REF-ORD-1145
GTW-10146,ORD-1146,2026-07-13T02:00:00Z,12214,RAZORPAY,SUCCESS,REF-ORD-1146
GTW-10147,ORD-1147,2026-07-19T11:00:00Z,11815,RAZORPAY,SUCCESS,REF-ORD-1147
GTW-10148,ORD-1148,2026-07-08T05:00:00Z,2169,RAZORPAY,SUCCESS,REF-ORD-1148
GTW-10149,ORD-1149,2026-07-22T02:00:00Z,10337,RAZORPAY,SUCCESS,REF-ORD-1149
GTW-10150,ORD-1150,2026-07-26T01:00:00Z,9772,RAZORPAY,SUCCESS,REF-ORD-1150
GTW-10151,ORD-1151,2026-07-12T11:00:00Z,9228,RAZORPAY,SUCCESS,REF-ORD-1151
GTW-10152,ORD-1152,2026-07-12T11:00:00Z,1629,RAZORPAY,SUCCESS,REF-ORD-1152
GTW-10153,ORD-1153,2026-07-11T07:00:00Z,707,RAZORPAY,SUCCESS,REF-ORD-1153
GTW-10154,ORD-1154,2026-07-16T06:00:00Z,2229,RAZORPAY,SUCCESS,REF-ORD-1154
GTW-10155,ORD-1155,2026-07-15T07:00:00Z,12088,RAZORPAY,SUCCESS,REF-ORD-1155
GTW-10156,ORD-1156,2026-07-06T11:00:00Z,12522,RAZORPAY,SUCCESS,REF-ORD-1156
GTW-10157,ORD-1157,2026-07-09T09:00:00Z,10591,RAZORPAY,SUCCESS,REF-ORD-1157
GTW-10158,ORD-1158,2026-07-25T07:00:00Z,8421,RAZORPAY,SUCCESS,REF-ORD-1158
GTW-10159,ORD-1159,2026-07-24T06:00:00Z,10207,RAZORPAY,SUCCESS,REF-ORD-1159
GTW-10160,ORD-1160,2026-07-08T05:00:00Z,14110,RAZORPAY,SUCCESS,REF-ORD-1160
GTW-10161,ORD-1161,2026-07-15T08:00:00Z,4495,RAZORPAY,SUCCESS,REF-ORD-1161
GTW-10162,ORD-1162,2026-07-19T07:00:00Z,10499,RAZORPAY,SUCCESS,REF-ORD-1162
GTW-10163,ORD-1163,2026-07-01T06:00:00Z,8598,RAZORPAY,SUCCESS,REF-ORD-1163
GTW-10164,ORD-1164,2026-07-06T06:00:00Z,8488,RAZORPAY,SUCCESS,REF-ORD-1164
GTW-10165,ORD-1165,2026-07-26T05:00:00Z,4732,RAZORPAY,SUCCESS,REF-ORD-1165
GTW-10166,ORD-1166,2026-07-20T09:00:00Z,11988,RAZORPAY,SUCCESS,REF-ORD-1166
GTW-10167,ORD-1167,2026-07-17T04:00:00Z,3630,RAZORPAY,SUCCESS,REF-ORD-1167
GTW-10168,ORD-1168,2026-07-24T09:00:00Z,7158,RAZORPAY,SUCCESS,REF-ORD-1168
GTW-10169,ORD-1169,2026-07-25T08:00:00Z,4437,RAZORPAY,SUCCESS,REF-ORD-1169
GTW-10170,ORD-1170,2026-07-21T08:00:00Z,12162,RAZORPAY,SUCCESS,REF-ORD-1170
GTW-10171,ORD-1171,2026-07-26T05:00:00Z,782,RAZORPAY,SUCCESS,REF-ORD-1171
GTW-10172,ORD-1172,2026-07-13T05:00:00Z,11834,RAZORPAY,SUCCESS,REF-ORD-1172
GTW-10173,ORD-1173,2026-07-22T08:00:00Z,10028,RAZORPAY,SUCCESS,REF-ORD-1173
GTW-10174,ORD-1174,2026-07-18T07:00:00Z,9198,RAZORPAY,SUCCESS,REF-ORD-1174
GTW-10175,ORD-1175,2026-07-24T06:00:00Z,9517,RAZORPAY,SUCCESS,REF-ORD-1175
GTW-10176,ORD-1176,2026-07-23T05:00:00Z,7934,RAZORPAY,SUCCESS,REF-ORD-1176
GTW-10177,ORD-1177,2026-07-09T12:00:00Z,4277,RAZORPAY,SUCCESS,REF-ORD-1177
GTW-10178,ORD-1178,2026-07-07T12:00:00Z,5669,RAZORPAY,SUCCESS,REF-ORD-1178
GTW-10179,ORD-1179,2026-07-18T03:00:00Z,12987,RAZORPAY,SUCCESS,REF-ORD-1179
GTW-10180,ORD-1180,2026-07-07T05:00:00Z,12601,RAZORPAY,SUCCESS,REF-ORD-1180
GTW-10181,ORD-1181,2026-07-24T09:00:00Z,10159,RAZORPAY,SUCCESS,REF-ORD-1181
GTW-10182,ORD-1182,2026-07-20T04:00:00Z,5136,RAZORPAY,SUCCESS,REF-ORD-1182
GTW-10183,ORD-1183,2026-07-10T03:00:00Z,4227,RAZORPAY,SUCCESS,REF-ORD-1183
GTW-10184,ORD-1184,2026-07-10T09:00:00Z,731,RAZORPAY,SUCCESS,REF-ORD-1184
GTW-10185,ORD-1185,2026-07-05T01:00:00Z,4994,RAZORPAY,SUCCESS,REF-ORD-1185
GTW-10186,ORD-1186,2026-07-18T03:00:00Z,5286,RAZORPAY,SUCCESS,REF-ORD-1186
GTW-10187,ORD-1187,2026-07-21T08:00:00Z,14728,RAZORPAY,SUCCESS,REF-ORD-1187
GTW-10188,ORD-1188,2026-07-04T10:00:00Z,14798,RAZORPAY,SUCCESS,REF-ORD-1188
GTW-10189,ORD-1189,2026-07-10T08:00:00Z,8190,RAZORPAY,SUCCESS,REF-ORD-1189
GTW-10190,ORD-1190,2026-07-06T08:00:00Z,1341,RAZORPAY,SUCCESS,REF-ORD-1190
GTW-10191,ORD-1191,2026-07-04T07:00:00Z,13969,RAZORPAY,SUCCESS,REF-ORD-1191
GTW-10192,ORD-1192,2026-07-16T11:00:00Z,1713,RAZORPAY,SUCCESS,REF-ORD-1192
GTW-10193,ORD-1193,2026-07-22T03:00:00Z,1378,RAZORPAY,SUCCESS,REF-ORD-1193
GTW-10194,ORD-1194,2026-07-26T02:00:00Z,9721,RAZORPAY,SUCCESS,REF-ORD-1194
GTW-10195,ORD-1195,2026-07-08T07:00:00Z,2440,RAZORPAY,SUCCESS,REF-ORD-1195
GTW-10196,ORD-1196,2026-07-20T10:00:00Z,10266,RAZORPAY,SUCCESS,REF-ORD-1196
GTW-10197,ORD-1197,2026-07-08T07:00:00Z,13208,RAZORPAY,SUCCESS,REF-ORD-1197
GTW-10198,ORD-1198,2026-07-15T10:00:00Z,7753,RAZORPAY,SUCCESS,REF-ORD-1198
GTW-10199,ORD-1199,2026-07-14T10:00:00Z,5503,RAZORPAY,SUCCESS,REF-ORD-1199
GTW-10200,ORD-1200,2026-07-02T02:00:00Z,10488,RAZORPAY,SUCCESS,REF-ORD-1200
GTW-10201,ORD-1201,2026-07-25T04:00:00Z,3904,RAZORPAY,SUCCESS,REF-ORD-1201
GTW-10202,ORD-1202,2026-07-09T03:00:00Z,11320,RAZORPAY,SUCCESS,REF-ORD-1202
GTW-10203,ORD-1203,2026-07-06T03:00:00Z,9543,RAZORPAY,SUCCESS,REF-ORD-1203
GTW-10204,ORD-1204,2026-07-01T12:00:00Z,7193,RAZORPAY,SUCCESS,REF-ORD-1204
GTW-10205,ORD-1205,2026-07-20T01:00:00Z,8199,RAZORPAY,SUCCESS,REF-ORD-1205
GTW-10206,ORD-1206,2026-07-08T05:00:00Z,5220,RAZORPAY,SUCCESS,REF-ORD-1206
GTW-10207,ORD-1207,2026-07-23T02:00:00Z,14583,RAZORPAY,SUCCESS,REF-ORD-1207
GTW-10208,ORD-1208,2026-07-22T11:00:00Z,4324,RAZORPAY,SUCCESS,REF-ORD-1208
GTW-10209,ORD-1209,2026-07-19T04:00:00Z,11332,RAZORPAY,SUCCESS,REF-ORD-1209
GTW-10210,ORD-1210,2026-07-14T04:00:00Z,2380,RAZORPAY,SUCCESS,REF-ORD-1210
GTW-10211,ORD-1211,2026-07-21T03:00:00Z,2941,RAZORPAY,SUCCESS,REF-ORD-1211
GTW-10212,ORD-1212,2026-07-03T05:00:00Z,1477,RAZORPAY,SUCCESS,REF-ORD-1212
GTW-10213,ORD-1213,2026-07-20T10:00:00Z,12770,RAZORPAY,SUCCESS,REF-ORD-1213
GTW-10214,ORD-1214,2026-07-15T12:00:00Z,2537,RAZORPAY,SUCCESS,REF-ORD-1214
GTW-10215,ORD-1215,2026-07-10T05:00:00Z,11964,RAZORPAY,SUCCESS,REF-ORD-1215
GTW-10216,ORD-1216,2026-07-17T08:00:00Z,9347,RAZORPAY,SUCCESS,REF-ORD-1216
GTW-10217,ORD-1217,2026-07-03T07:00:00Z,10298,RAZORPAY,SUCCESS,REF-ORD-1217
GTW-10218,ORD-1218,2026-07-24T05:00:00Z,5780,RAZORPAY,SUCCESS,REF-ORD-1218
GTW-10219,ORD-1219,2026-07-01T11:00:00Z,1996,RAZORPAY,SUCCESS,REF-ORD-1219
GTW-10220,ORD-1220,2026-07-19T11:00:00Z,839,RAZORPAY,SUCCESS,REF-ORD-1220
GTW-10221,ORD-1221,2026-07-09T03:00:00Z,9941,RAZORPAY,SUCCESS,REF-ORD-1221
GTW-10222,ORD-1222,2026-07-16T08:00:00Z,9002,RAZORPAY,SUCCESS,REF-ORD-1222
GTW-10223,ORD-1223,2026-07-06T11:00:00Z,10090,RAZORPAY,SUCCESS,REF-ORD-1223
GTW-10224,ORD-1224,2026-07-16T06:00:00Z,1994,RAZORPAY,SUCCESS,REF-ORD-1224
GTW-10225,ORD-1225,2026-07-11T02:00:00Z,5760,RAZORPAY,SUCCESS,REF-ORD-1225
GTW-10226,ORD-1226,2026-07-06T12:00:00Z,5903,RAZORPAY,SUCCESS,REF-ORD-1226
GTW-10227,ORD-1227,2026-07-16T07:00:00Z,5222,RAZORPAY,SUCCESS,REF-ORD-1227
GTW-10228,ORD-1228,2026-07-25T08:00:00Z,9512,RAZORPAY,SUCCESS,REF-ORD-1228
GTW-10229,ORD-1229,2026-07-03T06:00:00Z,5653,RAZORPAY,SUCCESS,REF-ORD-1229
GTW-10230,ORD-1230,2026-07-04T09:00:00Z,13157,RAZORPAY,SUCCESS,REF-ORD-1230
GTW-10231,ORD-1231,2026-07-01T09:00:00Z,11275,RAZORPAY,SUCCESS,REF-ORD-1231
GTW-10232,ORD-1232,2026-07-15T04:00:00Z,7270,RAZORPAY,SUCCESS,REF-ORD-1232
GTW-10233,ORD-1233,2026-07-12T08:00:00Z,10701,RAZORPAY,SUCCESS,REF-ORD-1233
GTW-10234,ORD-1234,2026-07-21T01:00:00Z,7742,RAZORPAY,SUCCESS,REF-ORD-1234
GTW-10235,ORD-1235,2026-07-09T05:00:00Z,9498,RAZORPAY,SUCCESS,REF-ORD-1235
GTW-10236,ORD-1236,2026-07-15T08:00:00Z,14931,RAZORPAY,SUCCESS,REF-ORD-1236
GTW-10237,ORD-1237,2026-07-04T10:00:00Z,972,RAZORPAY,SUCCESS,REF-ORD-1237
GTW-10238,ORD-1238,2026-07-26T03:00:00Z,4420,RAZORPAY,SUCCESS,REF-ORD-1238
GTW-10239,ORD-1239,2026-07-10T09:00:00Z,9524,RAZORPAY,SUCCESS,REF-ORD-1239
GTW-10240,ORD-1240,2026-07-14T02:00:00Z,2027,RAZORPAY,SUCCESS,REF-ORD-1240
GTW-10241,ORD-1241,2026-07-15T03:00:00Z,2424,RAZORPAY,SUCCESS,REF-ORD-1241
GTW-10242,ORD-1242,2026-07-16T09:00:00Z,12240,RAZORPAY,SUCCESS,REF-ORD-1242
GTW-10243,ORD-1243,2026-07-23T08:00:00Z,4979,RAZORPAY,SUCCESS,REF-ORD-1243
GTW-10244,ORD-1244,2026-07-16T09:00:00Z,4493,RAZORPAY,SUCCESS,REF-ORD-1244
GTW-10245,ORD-1245,2026-07-05T10:00:00Z,6784,RAZORPAY,SUCCESS,REF-ORD-1245
GTW-10246,ORD-1246,2026-07-17T02:00:00Z,12727,RAZORPAY,SUCCESS,REF-ORD-1246
