order_id,order_date,customer_id,gross_amount,currency,status
ORD-1069,2026-07-06T00:00:00Z,CUST-371,10012,INR,REFUNDED
ORD-1070,2026-07-04T00:00:00Z,CUST-544,10274,INR,COMPLETED
ORD-1071,2026-07-24T00:00:00Z,CUST-421,13384,INR,COMPLETED
ORD-1072,2026-07-20T00:00:00Z,CUST-218,8879,INR,COMPLETED
ORD-1073,2026-07-19T00:00:00Z,CUST-360,3614,INR,COMPLETED
ORD-1074,2026-07-23T00:00:00Z,CUST-101,7644,INR,COMPLETED
ORD-1075,2026-07-26T00:00:00Z,CUST-803,9321,INR,COMPLETED
ORD-1076,2026-07-24T00:00:00Z,CUST-301,11487,INR,COMPLETED
ORD-1077,2026-07-14T00:00:00Z,CUST-780,1646,INR,COMPLETED
ORD-1078,2026-07-20T00:00:00Z,CUST-779,5643,INR,COMPLETED
ORD-1079,2026-07-24T00:00:00Z,CUST-619,5420,INR,COMPLETED
ORD-1080,2026-07-22T00:00:00Z,CUST-434,7191,INR,COMPLETED
ORD-1081,2026-07-23T00:00:00Z,CUST-667,5344,INR,COMPLETED
ORD-1082,2026-07-14T00:00:00Z,CUST-488,11394,INR,COMPLETED
ORD-1083,2026-07-24T00:00:00Z,CUST-730,3351,INR,COMPLETED
ORD-1084,2026-07-13T00:00:00Z,CUST-953,9477,INR,COMPLETED
ORD-1085,2026-07-10T00:00:00Z,CUST-315,5200,INR,COMPLETED
ORD-1086,2026-07-26T00:00:00Z,CUST-721,10002,INR,COMPLETED
ORD-1087,2026-07-11T00:00:00Z,CUST-552,8118,INR,COMPLETED
ORD-1088,2026-07-22T00:00:00Z,CUST-623,4001,INR,COMPLETED
ORD-1089,2026-07-26T00:00:00Z,CUST-853,13542,INR,COMPLETED
ORD-1090,2026-07-22T00:00:00Z,CUST-390,1889,INR,COMPLETED
ORD-1091,2026-07-22T00:00:00Z,CUST-734,10870,INR,COMPLETED
ORD-1092,2026-07-03T00:00:00Z,CUST-869,13909,INR,COMPLETED
ORD-1093,2026-07-22T00:00:00Z,CUST-330,5585,INR,COMPLETED
ORD-1094,2026-07-05T00:00:00Z,CUST-147,900,INR,REFUNDED
ORD-1095,2026-07-16T00:00:00Z,CUST-970,10515,INR,COMPLETED
ORD-1096,2026-07-15T00:00:00Z,CUST-744,7290,INR,REFUNDED
ORD-1097,2026-07-07T00:00:00Z,CUST-813,12269,INR,COMPLETED
ORD-1098,2026-07-16T00:00:00Z,CUST-349,7047,INR,COMPLETED
ORD-1099,2026-07-21T00:00:00Z,CUST-105,11766,INR,REFUNDED
ORD-1100,2026-07-25T00:00:00Z,CUST-324,7465,INR,COMPLETED
ORD-1101,2026-07-26T00:00:00Z,CUST-630,11901,INR,COMPLETED
ORD-1102,2026-07-02T00:00:00Z,CUST-355,9632,INR,COMPLETED
ORD-1103,2026-07-15T00:00:00Z,CUST-920,2684,INR,REFUNDED
ORD-1104,2026-07-22T00:00:00Z,CUST-672,9202,INR,COMPLETED
ORD-1105,2026-07-11T00:00:00Z,CUST-553,12874,INR,COMPLETED
ORD-1106,2026-07-17T00:00:00Z,CUST-950,7491,INR,COMPLETED
ORD-1107,2026-07-06T00:00:00Z,CUST-982,12684,INR,COMPLETED
ORD-1108,2026-07-15T00:00:00Z,CUST-869,4746,INR,COMPLETED
ORD-1109,2026-07-21T00:00:00Z,CUST-884,5043,INR,COMPLETED
ORD-1110,2026-07-21T00:00:00Z,CUST-381,4419,INR,COMPLETED
ORD-1111,2026-07-03T00:00:00Z,CUST-392,12190,INR,COMPLETED
ORD-1112,2026-07-09T00:00:00Z,CUST-427,6002,INR,COMPLETED
ORD-1113,2026-07-03T00:00:00Z,CUST-254,2767,INR,COMPLETED
ORD-1114,2026-07-23T00:00:00Z,CUST-823,3003,INR,COMPLETED
ORD-1115,2026-07-03T00:00:00Z,CUST-517,7297,INR,COMPLETED
ORD-1116,2026-07-18T00:00:00Z,CUST-525,8133,INR,COMPLETED
ORD-1117,2026-07-14T00:00:00Z,CUST-888,6881,INR,COMPLETED
ORD-1118,2026-07-23T00:00:00Z,CUST-977,820,INR,COMPLETED
ORD-1119,2026-07-13T00:00:00Z,CUST-106,8314,INR,COMPLETED
ORD-1120,2026-07-25T00:00:00Z,CUST-973,6889,INR,COMPLETED
ORD-1121,2026-07-24T00:00:00Z,CUST-659,12536,INR,COMPLETED
ORD-1122,2026-07-08T00:00:00Z,CUST-324,8499,INR,COMPLETED
ORD-1123,2026-07-14T00:00:00Z,CUST-129,8456,INR,COMPLETED
ORD-1124,2026-07-11T00:00:00Z,CUST-795,11458,INR,COMPLETED
ORD-1125,2026-07-24T00:00:00Z,CUST-960,3204,INR,COMPLETED
ORD-1126,2026-07-05T00:00:00Z,CUST-646,10695,INR,COMPLETED
ORD-1127,2026-07-13T00:00:00Z,CUST-677,10197,INR,COMPLETED
ORD-1128,2026-07-22T00:00:00Z,CUST-185,944,INR,REFUNDED
ORD-1129,2026-07-14T00:00:00Z,CUST-987,2723,INR,COMPLETED
ORD-1130,2026-07-06T00:00:00Z,CUST-366,1323,INR,COMPLETED
ORD-1131,2026-07-11T00:00:00Z,CUST-565,3967,INR,COMPLETED
ORD-1132,2026-07-11T00:00:00Z,CUST-488,12971,INR,COMPLETED
ORD-1133,2026-07-25T00:00:00Z,CUST-531,14130,INR,COMPLETED
ORD-1134,2026-07-16T00:00:00Z,CUST-867,817,INR,COMPLETED
ORD-1135,2026-07-02T00:00:00Z,CUST-329,6233,INR,COMPLETED
ORD-1136,2026-07-03T00:00:00Z,CUST-767,13299,INR,COMPLETED
ORD-1137,2026-07-02T00:00:00Z,CUST-131,12857,INR,REFUNDED
ORD-1138,2026-07-07T00:00:00Z,CUST-120,14249,INR,COMPLETED
ORD-1139,2026-07-05T00:00:00Z,CUST-229,4408,INR,COMPLETED
ORD-1140,2026-07-22T00:00:00Z,CUST-677,2374,INR,REFUNDED
ORD-1141,2026-07-15T00:00:00Z,CUST-362,11960,INR,COMPLETED
ORD-1142,2026-07-06T00:00:00Z,CUST-721,10426,INR,REFUNDED
ORD-1143,2026-07-23T00:00:00Z,CUST-896,2376,INR,COMPLETED
ORD-1144,2026-07-10T00:00:00Z,CUST-692,2271,INR,COMPLETED
ORD-1145,2026-07-10T00:00:00Z,CUST-793,9933,INR,COMPLETED
ORD-1146,2026-07-13T00:00:00Z,CUST-303,12214,INR,COMPLETED
ORD-1147,2026-07-19T00:00:00Z,CUST-950,11815,INR,COMPLETED
ORD-1148,2026-07-08T00:00:00Z,CUST-813,2169,INR,COMPLETED
ORD-1149,2026-07-22T00:00:00Z,CUST-924,10337,INR,COMPLETED
ORD-1150,2026-07-26T00:00:00Z,CUST-901,9772,INR,COMPLETED
ORD-1151,2026-07-12T00:00:00Z,CUST-538,9228,INR,COMPLETED
ORD-1152,2026-07-12T00:00:00Z,CUST-618,1629,INR,COMPLETED
ORD-1153,2026-07-11T00:00:00Z,CUST-969,707,INR,COMPLETED
ORD-1154,2026-07-16T00:00:00Z,CUST-543,2229,INR,COMPLETED
ORD-1155,2026-07-15T00:00:00Z,CUST-256,12088,INR,COMPLETED
ORD-1156,2026-07-06T00:00:00Z,CUST-634,12522,INR,COMPLETED
ORD-1157,2026-07-09T00:00:00Z,CUST-927,10591,INR,COMPLETED
ORD-1158,2026-07-25T00:00:00Z,CUST-576,8421,INR,COMPLETED
ORD-1159,2026-07-24T00:00:00Z,CUST-374,10207,INR,COMPLETED
ORD-1160,2026-07-08T00:00:00Z,CUST-188,14110,INR,COMPLETED
ORD-1161,2026-07-15T00:00:00Z,CUST-868,4495,INR,COMPLETED
ORD-1162,2026-07-19T00:00:00Z,CUST-784,10499,INR,COMPLETED
ORD-1163,2026-07-01T00:00:00Z,CUST-971,8598,INR,COMPLETED
ORD-1164,2026-07-06T00:00:00Z,CUST-317,8488,INR,COMPLETED
ORD-1165,2026-07-26T00:00:00Z,CUST-448,4732,INR,COMPLETED
ORD-1166,2026-07-20T00:00:00Z,CUST-382,11988,INR,COMPLETED
ORD-1167,2026-07-17T00:00:00Z,CUST-187,3630,INR,COMPLETED
ORD-1168,2026-07-24T00:00:00Z,CUST-600,7158,INR,COMPLETED
ORD-1169,2026-07-25T00:00:00Z,CUST-807,4437,INR,COMPLETED
ORD-1170,2026-07-21T00:00:00Z,CUST-602,12162,INR,COMPLETED
ORD-1171,2026-07-26T00:00:00Z,CUST-195,782,INR,COMPLETED
ORD-1172,2026-07-13T00:00:00Z,CUST-349,11834,INR,COMPLETED
ORD-1173,2026-07-22T00:00:00Z,CUST-477,10028,INR,COMPLETED
ORD-1174,2026-07-18T00:00:00Z,CUST-452,9198,INR,COMPLETED
ORD-1175,2026-07-24T00:00:00Z,CUST-438,9517,INR,COMPLETED
ORD-1176,2026-07-23T00:00:00Z,CUST-377,7934,INR,COMPLETED
ORD-1177,2026-07-09T00:00:00Z,CUST-223,4277,INR,COMPLETED
ORD-1178,2026-07-07T00:00:00Z,CUST-222,5669,INR,COMPLETED
ORD-1179,2026-07-18T00:00:00Z,CUST-806,12987,INR,COMPLETED
ORD-1180,2026-07-07T00:00:00Z,CUST-595,12601,INR,REFUNDED
ORD-1181,2026-07-24T00:00:00Z,CUST-878,10159,INR,COMPLETED
ORD-1182,2026-07-20T00:00:00Z,CUST-202,5136,INR,COMPLETED
ORD-1183,2026-07-10T00:00:00Z,CUST-469,4227,INR,REFUNDED
ORD-1184,2026-07-10T00:00:00Z,CUST-825,731,INR,COMPLETED
ORD-1185,2026-07-05T00:00:00Z,CUST-146,4994,INR,COMPLETED
ORD-1186,2026-07-18T00:00:00Z,CUST-814,5286,INR,COMPLETED
ORD-1187,2026-07-21T00:00:00Z,CUST-870,14728,INR,REFUNDED
ORD-1188,2026-07-04T00:00:00Z,CUST-112,14798,INR,COMPLETED
ORD-1189,2026-07-10T00:00:00Z,CUST-590,8190,INR,COMPLETED
ORD-1190,2026-07-06T00:00:00Z,CUST-358,1341,INR,COMPLETED
ORD-1191,2026-07-04T00:00:00Z,CUST-166,13969,INR,COMPLETED
ORD-1192,2026-07-16T00:00:00Z,CUST-690,1713,INR,COMPLETED
ORD-1193,2026-07-22T00:00:00Z,CUST-255,1378,INR,COMPLETED
ORD-1194,2026-07-26T00:00:00Z,CUST-411,9721,INR,COMPLETED
ORD-1195,2026-07-08T00:00:00Z,CUST-671,2440,INR,COMPLETED
ORD-1196,2026-07-20T00:00:00Z,CUST-909,10266,INR,COMPLETED
ORD-1197,2026-07-08T00:00:00Z,CUST-635,13208,INR,COMPLETED
ORD-1198,2026-07-15T00:00:00Z,CUST-404,7753,INR,COMPLETED
ORD-1199,2026-07-14T00:00:00Z,CUST-682,5503,INR,COMPLETED
ORD-1200,2026-07-02T00:00:00Z,CUST-857,10488,INR,COMPLETED
ORD-1201,2026-07-25T00:00:00Z,CUST-740,3904,INR,COMPLETED
ORD-1202,2026-07-09T00:00:00Z,CUST-183,11320,INR,COMPLETED
ORD-1203,2026-07-06T00:00:00Z,CUST-176,9543,INR,COMPLETED
ORD-1204,2026-07-01T00:00:00Z,CUST-561,7193,INR,COMPLETED
ORD-1205,2026-07-20T00:00:00Z,CUST-398,8199,INR,COMPLETED
ORD-1206,2026-07-08T00:00:00Z,CUST-823,5220,INR,COMPLETED
ORD-1207,2026-07-23T00:00:00Z,CUST-564,14583,INR,COMPLETED
ORD-1208,2026-07-22T00:00:00Z,CUST-370,4324,INR,COMPLETED
ORD-1209,2026-07-19T00:00:00Z,CUST-923,11332,INR,COMPLETED
ORD-1210,2026-07-14T00:00:00Z,CUST-657,2380,INR,COMPLETED
ORD-1211,2026-07-21T00:00:00Z,CUST-372,2941,INR,COMPLETED
ORD-1212,2026-07-03T00:00:00Z,CUST-269,1477,INR,COMPLETED
ORD-1213,2026-07-20T00:00:00Z,CUST-944,12770,INR,COMPLETED
ORD-1214,2026-07-15T00:00:00Z,CUST-579,2537,INR,COMPLETED
ORD-1215,2026-07-10T00:00:00Z,CUST-512,11964,INR,COMPLETED
ORD-1216,2026-07-17T00:00:00Z,CUST-605,9347,INR,COMPLETED
ORD-1217,2026-07-03T00:00:00Z,CUST-140,10298,INR,COMPLETED
ORD-1218,2026-07-24T00:00:00Z,CUST-718,5780,INR,COMPLETED
ORD-1219,2026-07-01T00:00:00Z,CUST-334,1996,INR,COMPLETED
ORD-1220,2026-07-19T00:00:00Z,CUST-883,839,INR,COMPLETED
ORD-1221,2026-07-09T00:00:00Z,CUST-141,9941,INR,REFUNDED
ORD-1222,2026-07-16T00:00:00Z,CUST-767,9002,INR,COMPLETED
ORD-1223,2026-07-06T00:00:00Z,CUST-546,10090,INR,COMPLETED
ORD-1224,2026-07-16T00:00:00Z,CUST-581,1994,INR,COMPLETED
ORD-1225,2026-07-11T00:00:00Z,CUST-786,5760,INR,REFUNDED
ORD-1226,2026-07-06T00:00:00Z,CUST-521,5903,INR,COMPLETED
ORD-1227,2026-07-16T00:00:00Z,CUST-778,5222,INR,COMPLETED
ORD-1228,2026-07-25T00:00:00Z,CUST-137,9512,INR,COMPLETED
ORD-1229,2026-07-03T00:00:00Z,CUST-358,5653,INR,COMPLETED
ORD-1230,2026-07-04T00:00:00Z,CUST-513,13157,INR,COMPLETED
ORD-1231,2026-07-01T00:00:00Z,CUST-990,11275,INR,COMPLETED
ORD-1232,2026-07-15T00:00:00Z,CUST-155,7270,INR,COMPLETED
ORD-1233,2026-07-12T00:00:00Z,CUST-874,10701,INR,COMPLETED
ORD-1234,2026-07-21T00:00:00Z,CUST-878,7742,INR,COMPLETED
ORD-1235,2026-07-09T00:00:00Z,CUST-234,9498,INR,COMPLETED
ORD-1236,2026-07-15T00:00:00Z,CUST-815,14931,INR,COMPLETED
ORD-1237,2026-07-04T00:00:00Z,CUST-745,972,INR,COMPLETED
ORD-1238,2026-07-26T00:00:00Z,CUST-826,4420,INR,COMPLETED
ORD-1239,2026-07-10T00:00:00Z,CUST-114,9524,INR,COMPLETED
ORD-1240,2026-07-14T00:00:00Z,CUST-330,2027,INR,COMPLETED
ORD-1241,2026-07-15T00:00:00Z,CUST-763,2424,INR,COMPLETED
ORD-1242,2026-07-16T00:00:00Z,CUST-398,12240,INR,COMPLETED
ORD-1243,2026-07-23T00:00:00Z,CUST-525,4979,INR,COMPLETED
ORD-1244,2026-07-16T00:00:00Z,CUST-567,4493,INR,COMPLETED
ORD-1245,2026-07-05T00:00:00Z,CUST-295,6784,INR,COMPLETED
ORD-1246,2026-07-17T00:00:00Z,CUST-239,12727,INR,COMPLETED
ORD-1247,2026-07-09T00:00:00Z,CUST-908,13159,INR,COMPLETED
ORD-1248,2026-07-11T00:00:00Z,CUST-619,13405,INR,COMPLETED
ORD-1249,2026-07-01T00:00:00Z,CUST-843,5134,INR,COMPLETED
ORD-1250,2026-07-19T00:00:00Z,CUST-775,10001,INR,COMPLETED
ORD-1251,2026-07-15T00:00:00Z,CUST-595,9324,INR,COMPLETED
ORD-1252,2026-07-18T00:00:00Z,CUST-656,12998,INR,COMPLETED
ORD-1253,2026-07-15T00:00:00Z,CUST-990,5772,INR,COMPLETED
ORD-1254,2026-07-08T00:00:00Z,CUST-492,9868,INR,COMPLETED
ORD-1255,2026-07-25T00:00:00Z,CUST-144,7230,INR,COMPLETED
ORD-1256,2026-07-24T00:00:00Z,CUST-822,8249,INR,COMPLETED
ORD-1257,2026-07-13T00:00:00Z,CUST-911,11373,INR,COMPLETED
ORD-1258,2026-07-05T00:00:00Z,CUST-137,8615,INR,COMPLETED
ORD-1259,2026-07-17T00:00:00Z,CUST-439,10169,INR,COMPLETED
